GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,co.edu.uptc.exception,InsufficientCapitalException,0,4,0,0,0,2,0,1,0,1
demo,co.edu.uptc.exception,InvestorNotFoundException,0,4,0,0,0,2,0,1,0,1
demo,co.edu.uptc.exception,AssetNotFoundException,0,4,0,0,0,2,0,1,0,1
demo,co.edu.uptc.exception,OperationCancelledException,4,0,0,0,2,0,1,0,1,0
demo,co.edu.uptc.exception,IncompatibleRiskProfileException,0,4,0,0,0,2,0,1,0,1
demo,co.edu.uptc.service,AssetService.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
demo,co.edu.uptc.service,PortfolioService,9,225,13,23,2,51,13,15,0,10
demo,co.edu.uptc.service,InvestmentService,71,188,7,15,17,44,9,17,2,13
demo,co.edu.uptc.service,InvestorService,154,195,23,17,39,51,19,15,4,10
demo,co.edu.uptc.service,InvestmentService.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
demo,co.edu.uptc.service,InvestorService.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
demo,co.edu.uptc.service,AssetService,62,172,7,19,14,44,8,17,1,11
demo,co.edu.uptc.model.enums,AssetType,0,92,0,0,0,13,0,3,0,3
demo,co.edu.uptc.model.enums,RiskProfile,0,48,0,0,0,8,0,3,0,3
demo,co.edu.uptc.repository,JsonRepository,38,110,3,1,13,30,4,10,2,10
demo,co.edu.uptc.view,ConsoleView,291,0,4,0,73,0,18,0,16,0
demo,co.edu.uptc.view,Main,15,0,0,0,5,0,2,0,2,0
demo,co.edu.uptc.control,InvestmentController,636,0,33,0,132,0,26,0,7,0
demo,co.edu.uptc.control,PortfolioController,684,0,18,0,137,0,18,0,9,0
demo,co.edu.uptc.control,AssetController,470,0,36,0,111,0,27,0,6,0
demo,co.edu.uptc.control,MenuController,528,0,64,0,152,0,55,0,10,0
demo,co.edu.uptc.control,InvestorController,353,0,23,0,93,0,21,0,6,0
demo,co.edu.uptc.util,IdFormats,12,58,9,9,0,9,9,7,0,7
demo,co.edu.uptc.model,Investment,49,45,0,0,17,17,9,8,9,8
demo,co.edu.uptc.model,Investor,35,47,0,0,11,19,6,9,6,9
demo,co.edu.uptc.model,Asset,32,37,0,0,11,15,6,7,6,7
